text,date,sentiment
A conference on digital transformation was organized in Yaounde.,2023-05-26,Neutral
The Central Bank published the annual economic statistics.,2024-01-28,Neutral
The Ministry of Health released a new public health report.,2022-10-12,Neutral
The Anglophone crisis continues to disrupt education in the Northwest region.,2023-04-25,Negative
Digital entrepreneurship is creating new opportunities for young people.,2021-10-02,Positive
The new road infrastructure project in Yaounde is improving transportation.,2021-01-05,Positive
The new road infrastructure project in Yaounde is improving transportation.,2025-09-11,Positive
The Anglophone crisis continues to disrupt education in the Northwest region.,2023-06-02,Negative
Local councils conducted community development meetings.,2023-11-16,Neutral
Citizens expressed fear over insecurity in the Far North region.,2020-08-22,Negative
Youth unemployment remains a serious problem in Cameroon.,2026-11-29,Negative
The Anglophone crisis continues to disrupt education in the Northwest region.,2021-09-06,Negative
Parliament held a meeting to discuss economic reforms.,2026-10-28,Neutral
Cameroon celebrated a major sports victory bringing joy to citizens.,2021-06-16,Positive
The Ministry of Health released a new public health report.,2023-07-02,Neutral
Youth unemployment remains a serious problem in Cameroon.,2026-11-29,Negative
The Anglophone crisis continues to disrupt education in the Northwest region.,2026-06-12,Negative
The Ministry of Health released a new public health report.,2026-07-01,Neutral
Parliament held a meeting to discuss economic reforms.,2021-09-12,Neutral
Youth unemployment remains a serious problem in Cameroon.,2026-02-05,Negative
Local councils conducted community development meetings.,2022-05-07,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2023-04-09,Positive
Cameroon celebrated a major sports victory bringing joy to citizens.,2023-04-24,Positive
Youth unemployment remains a serious problem in Cameroon.,2026-10-19,Negative
Local councils conducted community development meetings.,2024-12-18,Neutral
Youth unemployment remains a serious problem in Cameroon.,2025-03-04,Negative
Citizens expressed fear over insecurity in the Far North region.,2023-10-05,Negative
Fuel prices increased again causing frustration among drivers in Douala.,2026-04-12,Negative
The new road infrastructure project in Yaounde is improving transportation.,2021-07-09,Positive
Government scholarship programs are supporting university students.,2022-10-30,Positive
Parliament held a meeting to discuss economic reforms.,2023-11-22,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2025-10-20,Positive
The new road infrastructure project in Yaounde is improving transportation.,2024-05-07,Positive
A conference on digital transformation was organized in Yaounde.,2026-07-02,Neutral
Digital entrepreneurship is creating new opportunities for young people.,2024-10-05,Positive
Fuel prices increased again causing frustration among drivers in Douala.,2022-07-13,Negative
Citizens expressed fear over insecurity in the Far North region.,2023-06-23,Negative
Local councils conducted community development meetings.,2020-11-29,Neutral
Parliament held a meeting to discuss economic reforms.,2026-10-04,Neutral
Citizens expressed fear over insecurity in the Far North region.,2020-12-24,Negative
A conference on digital transformation was organized in Yaounde.,2022-06-16,Neutral
The new road infrastructure project in Yaounde is improving transportation.,2020-10-01,Positive
The Anglophone crisis continues to disrupt education in the Northwest region.,2022-02-27,Negative
A conference on digital transformation was organized in Yaounde.,2021-07-03,Neutral
Cameroon celebrated a major sports victory bringing joy to citizens.,2020-01-28,Positive
The COVID-19 vaccination campaign increased public health awareness.,2024-03-05,Positive
The new road infrastructure project in Yaounde is improving transportation.,2024-02-17,Positive
Parliament held a meeting to discuss economic reforms.,2020-04-11,Neutral
The Ministry of Health released a new public health report.,2025-05-23,Neutral
A conference on digital transformation was organized in Yaounde.,2023-07-27,Neutral
The Ministry of Health released a new public health report.,2021-05-03,Neutral
Youth unemployment remains a serious problem in Cameroon.,2024-10-31,Negative
The Ministry of Health released a new public health report.,2023-02-27,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2023-05-20,Positive
Citizens expressed fear over insecurity in the Far North region.,2023-08-12,Negative
Citizens expressed fear over insecurity in the Far North region.,2020-05-19,Negative
Fuel prices increased again causing frustration among drivers in Douala.,2022-05-08,Negative
Citizens expressed fear over insecurity in the Far North region.,2021-06-09,Negative
The COVID-19 vaccination campaign increased public health awareness.,2026-08-28,Positive
Cameroon celebrated a major sports victory bringing joy to citizens.,2023-12-15,Positive
Government scholarship programs are supporting university students.,2025-06-18,Positive
Digital entrepreneurship is creating new opportunities for young people.,2023-04-30,Positive
Hospitals reported shortage of medical equipment during the pandemic.,2022-09-14,Negative
The Central Bank published the annual economic statistics.,2026-02-10,Neutral
The Anglophone crisis continues to disrupt education in the Northwest region.,2023-01-05,Negative
Cameroon celebrated a major sports victory bringing joy to citizens.,2025-10-06,Positive
Fuel prices increased again causing frustration among drivers in Douala.,2025-04-07,Negative
Youth unemployment remains a serious problem in Cameroon.,2022-08-19,Negative
The Ministry of Health released a new public health report.,2026-06-20,Neutral
Government scholarship programs are supporting university students.,2023-06-21,Positive
Government scholarship programs are supporting university students.,2022-09-23,Positive
A conference on digital transformation was organized in Yaounde.,2022-12-12,Neutral
Local councils conducted community development meetings.,2025-02-20,Neutral
Local councils conducted community development meetings.,2022-10-09,Neutral
Digital entrepreneurship is creating new opportunities for young people.,2024-07-17,Positive
Cameroon celebrated a major sports victory bringing joy to citizens.,2025-07-31,Positive
Youth unemployment remains a serious problem in Cameroon.,2025-01-21,Negative
Digital entrepreneurship is creating new opportunities for young people.,2026-10-17,Positive
The Ministry of Health released a new public health report.,2020-06-04,Neutral
Digital entrepreneurship is creating new opportunities for young people.,2026-05-14,Positive
Cameroon celebrated a major sports victory bringing joy to citizens.,2021-03-27,Positive
The new road infrastructure project in Yaounde is improving transportation.,2021-03-19,Positive
Local councils conducted community development meetings.,2024-01-09,Neutral
Local councils conducted community development meetings.,2021-11-04,Neutral
Local councils conducted community development meetings.,2020-08-07,Neutral
The Ministry of Health released a new public health report.,2020-12-15,Neutral
Fuel prices increased again causing frustration among drivers in Douala.,2021-05-28,Negative
The Central Bank published the annual economic statistics.,2026-04-12,Neutral
Government scholarship programs are supporting university students.,2022-11-24,Positive
Citizens expressed fear over insecurity in the Far North region.,2023-10-09,Negative
Government scholarship programs are supporting university students.,2021-01-26,Positive
Citizens expressed fear over insecurity in the Far North region.,2026-08-19,Negative
Youth unemployment remains a serious problem in Cameroon.,2022-08-16,Negative
Parliament held a meeting to discuss economic reforms.,2021-02-22,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2023-06-22,Positive
Fuel prices increased again causing frustration among drivers in Douala.,2023-07-23,Negative
The COVID-19 vaccination campaign increased public health awareness.,2020-08-17,Positive
Citizens expressed fear over insecurity in the Far North region.,2020-08-30,Negative
Government scholarship programs are supporting university students.,2025-03-19,Positive
The Anglophone crisis continues to disrupt education in the Northwest region.,2026-08-27,Negative
Cameroon celebrated a major sports victory bringing joy to citizens.,2020-09-04,Positive
Local councils conducted community development meetings.,2026-02-25,Neutral
The new road infrastructure project in Yaounde is improving transportation.,2026-05-11,Positive
Digital entrepreneurship is creating new opportunities for young people.,2024-08-21,Positive
Fuel prices increased again causing frustration among drivers in Douala.,2020-08-13,Negative
The COVID-19 vaccination campaign increased public health awareness.,2024-10-08,Positive
Cameroon celebrated a major sports victory bringing joy to citizens.,2025-07-31,Positive
Local councils conducted community development meetings.,2026-04-07,Neutral
The Anglophone crisis continues to disrupt education in the Northwest region.,2021-09-22,Negative
A conference on digital transformation was organized in Yaounde.,2025-04-22,Neutral
Government scholarship programs are supporting university students.,2024-11-09,Positive
The Ministry of Health released a new public health report.,2024-07-02,Neutral
Cameroon celebrated a major sports victory bringing joy to citizens.,2022-09-11,Positive
Citizens expressed fear over insecurity in the Far North region.,2024-12-10,Negative
The Central Bank published the annual economic statistics.,2026-11-15,Neutral
The Central Bank published the annual economic statistics.,2024-11-01,Neutral
Fuel prices increased again causing frustration among drivers in Douala.,2024-08-01,Negative
Citizens expressed fear over insecurity in the Far North region.,2022-12-06,Negative
The Central Bank published the annual economic statistics.,2024-10-29,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2023-06-25,Positive
Digital entrepreneurship is creating new opportunities for young people.,2026-05-21,Positive
The Central Bank published the annual economic statistics.,2021-12-06,Neutral
Youth unemployment remains a serious problem in Cameroon.,2023-05-29,Negative
The new road infrastructure project in Yaounde is improving transportation.,2022-04-11,Positive
The Central Bank published the annual economic statistics.,2021-11-07,Neutral
Youth unemployment remains a serious problem in Cameroon.,2023-02-05,Negative
Cameroon celebrated a major sports victory bringing joy to citizens.,2020-05-29,Positive
The Anglophone crisis continues to disrupt education in the Northwest region.,2026-06-15,Negative
The COVID-19 vaccination campaign increased public health awareness.,2022-03-07,Positive
Digital entrepreneurship is creating new opportunities for young people.,2020-09-06,Positive
Youth unemployment remains a serious problem in Cameroon.,2021-08-12,Negative
Government scholarship programs are supporting university students.,2023-07-09,Positive
The COVID-19 vaccination campaign increased public health awareness.,2026-03-14,Positive
Digital entrepreneurship is creating new opportunities for young people.,2022-07-12,Positive
Local councils conducted community development meetings.,2023-02-28,Neutral
The COVID-19 vaccination campaign increased public health awareness.,2022-03-24,Positive
The new road infrastructure project in Yaounde is improving transportation.,2020-05-09,Positive
Digital entrepreneurship is creating new opportunities for young people.,2025-12-18,Positive
